Aboa Station Antartica;AUTRE;882;;D;;5;456
Réunion;FIXE;262;+14;B;4;20;102;43;38;33;29
Réunion;MOBILE;262;+14;B;4;20;119;62;57;52;48
Roumanie;FIXE;40;+12;C;6;15;137;38;33;28;24
Roumanie;MOBILE;40;+12;C;6;15;153;53;48;43;39
Royaume Uni;FIXE;44;+10;B;6;20;102;31;26;21;17
Royaume Uni;MOBILE;44;+10;B;6;20;119;66;61;56;52
Russie (Rép. de);FIXE;7;+13a22;C;6;15;137;36;31;26;22
Russie (Rép. de);MOBILE;7;+13a22;C;6;15;153;36;31;26;22
Rwanda;FIXE;250;+12;C;5;15;137;44;39;34;30
Rwanda;MOBILE;250;+12;C;5;15;153;44;39;34;30
Sainte—Hélene;FIXE;290;+10;C;9;15;137;137;137;137;137
Sainte-Helene;MOBILE;290;+10;C;9;15;153;145;140;135;131
Sainte—Lucie;FIXE;1758;+6;C;9;15;137;45;40;35;31
Sainte—Lucie;MOBILE;1758;+6;C;9;15;153;49;44;39;35
Saint—Kitts/Nevis;FIXE;1869;+5;C;9;15;137;44;39;34;30
Saint—Kitm/Nevis;MOBILE;1869;+5;C;9;15;153;51;46;41;37
Saint-Marin (Italie);FIXE;378;+11;B;6;20;102;33;28;23;19
Saint-Marin (Italie);MOBILE;378;+11;B;6;20;119;33;28;23;19
Saint-Pierre & Miquelon;FIXE;508;+6;B;4;20;102;62;57;52;48
Saint-Pierre & Miquelon;MOBILE;508;+6;B;4;20;119;62;57;52; 48
Saint-Vincent & Grenadines;FIXE;1784;+6;C;9;15;137;45;40;35;31
Saint-Vincent & Grenadines;MOBILE;1784;+6;C;9;15;153;50;45;40;36
Salomon;FIXE;677;+21;B;5;20;102;102;102;102;102
Salomon;MOBILE;677;+21;B;5;20;119;119;119;119;119
Samoa Américaines;FIXE;1684;+21;B;5;20;102;39;34;29;25
Samoa Américaines;MOBILE;1684;+21;B;5;20;119;39;34;29;25
Samoa Occidentales;FIXE;685;+21;B;5;20;102;72;67;62;58
Samoa Occidentales;MOBILE;685;+21;B;5;20;119;72;67;62;58; ·
Sao Tomé & Principe;FIXE;239;+11;C;9;15;137;137;137;137;137
Sao Tomé & Principe;MOBILE;239;+11;C;9;15;153;151;146;141;137
Sénégal;FIXE;221;+ 10;C;5;15;137;47;42;37;33
Sénégal;MOBILE;221;+10;C;5;15;153;52;47;42;38
Serbie;FIXE;381;+11;C;;15;137;36;31;26;22
Serbie;MOBILE;381;+11;C;;15;153;58;53;48;44
Seychelles;FIXE;248;+14;C;7;15;137;47;42;37;33
Seychelles;MOBILE;248;+14;C;7;15;153;130;125;120;116
Siena Leone;FIXE;232;+10;C;9;15;137;67;62;57;53
Siena Leone;MOBILE;232;+10;C;9;15;153;67;62;57;53
Singapour;FIXE;65;+17;B;4;20;102;31;26;21;17
Singapour;MOBILE;65;+17;B;4;20;119;31;26;21;17
Slovaquie (Rép. de);FIXE;421;+11;C;6;15;137;36;31;26;22
Slovaquia (Rép. da);MOBILE;421;+11;C;6;15;153;50;45;40;36
Slovénie (Rép. de);FIXE;386;+11;C;6;15;137;33;28;23;19
Slovénie (Rép. de);MOBILE;386;+11;C;6;15;153;60;55;50;46
Somalia;FIXE;252;+13;C;9;15;137;96;91;86;82
